review,aspect,sentiment
Wash down a tuna tartar with an Ion martini!,DRINKS#QUALITY,positive
You'll love this electrolyte enhanced vodka!,DRINKS#QUALITY,positive
"Service is terrible, sadly it is not the managements fault.",SERVICE#GENERAL,negative
"Service is terrible, sadly it is not the managements fault.",SERVICE#GENERAL,neutral
There is just no respect shown by the general staff.,SERVICE#GENERAL,negative
Great food!,FOOD#QUALITY,positive
"Fair price, good ambiance and live music.",AMBIENCE#GENERAL,positive
"Fair price, good ambiance and live music.",AMBIENCE#GENERAL,positive
"Fair price, good ambiance and live music.",RESTAURANT#PRICES,positive
"Best wine in town, we will be back for more.",DRINKS#QUALITY,positive
Get a calzone.,FOOD#QUALITY,positive
They're 10 dollars but the size of a small baby.,FOOD#STYLE_OPTIONS,positive
"Lovely food, good portions, friendly staff.",FOOD#QUALITY,positive
"Lovely food, good portions, friendly staff.",FOOD#STYLE_OPTIONS,positive
"Lovely food, good portions, friendly staff.",SERVICE#GENERAL,positive
Recommended!,RESTAURANT#GENERAL,positive
Serves a wide range of cooked and grilled meals daily till 6 pm.,FOOD#STYLE_OPTIONS,positive
Value for money.,RESTAURANT#PRICES,positive
Value for money.,RESTAURANT#GENERAL,positive
"Try the cakes (the large ones), especially the one with forest fruits and chocolate.",FOOD#QUALITY,positive
"This was the worst Brazilian BBQ I,ve ever been to.",FOOD#QUALITY,negative
The meatshadno flavor and the chicken was completely dry.,FOOD#QUALITY,negative
The meatshadno flavor and the chicken was completely dry.,FOOD#QUALITY,negative
"Awful experience, the waitress was too busy taking care of other tables.",SERVICE#GENERAL,negative
"Awful experience, the waitress was too busy taking care of other tables.",RESTAURANT#GENERAL,negative
Don't come here.,RESTAURANT#GENERAL,negative
The ceviche is amazing.,FOOD#QUALITY,positive
Worth it!,RESTAURANT#GENERAL,positive
You got to try the new Brioche specials :),FOOD#QUALITY,positive
The Prosciutto sandwich is the Jam.,FOOD#QUALITY,positive
Petifores (sp) are the way to go!,FOOD#QUALITY,positive
The center cut filet is a MUST if you're here for dinner.,FOOD#QUALITY,positive
"If you find yourself here for brunch, the French toast is the way to go.",FOOD#QUALITY,positive
"It can get busy-no worries, free mimosas during your wait!",RESTAURANT#GENERAL,positive
Great cake here..,FOOD#QUALITY,positive
It's a chain yes but feels more organic than Starbucks,FOOD#QUALITY,positive
Herb and bacon cream cheese.,FOOD#QUALITY,positive
Ikura Oroshi is amazing.,FOOD#QUALITY,positive
It made me come back twice.,FOOD#QUALITY,positive
The second time I also discovered the black miso cod.,FOOD#QUALITY,positive
"Best cakes,, try the mini chocolate buttons <3 I also love their red-velvet cakes <33",FOOD#QUALITY,positive
"Best cakes,, try the mini chocolate buttons <3 I also love their red-velvet cakes <33",FOOD#QUALITY,positive
"Best cakes,, try the mini chocolate buttons <3 I also love their red-velvet cakes <33",FOOD#QUALITY,positive
Pancakes are very tasty.,FOOD#QUALITY,positive
You have to try their Spanish Latte!,FOOD#QUALITY,positive
"Medicore sushi, not special on taste nor variety and beamwallet doesn't work if you are considering it.",FOOD#QUALITY,neutral
"Medicore sushi, not special on taste nor variety and beamwallet doesn't work if you are considering it.",RESTAURANT#MISCELLANEOUS,negative
Overall bad experience and waiting for management to rectify the beamwallet issue.,SERVICE#GENERAL,negative
Overall bad experience and waiting for management to rectify the beamwallet issue.,RESTAURANT#GENERAL,negative
Be in Efes for 2nd time same as last time great food great Mr. Ramadan.,FOOD#QUALITY,positive
Highly recommended,RESTAURANT#GENERAL,positive
"Dude, Alex makes the best coffee! and he's awfully forceful when it comes to chocolate croissants.",SERVICE#GENERAL,positive
"Dude, Alex makes the best coffee! and he's awfully forceful when it comes to chocolate croissants.",DRINKS#QUALITY,positive
Excellent service.,SERVICE#GENERAL,positive
Very nice service and these biscuits are delicious!,SERVICE#GENERAL,positive
Very nice service and these biscuits are delicious!,FOOD#QUALITY,positive
Lousy !!!!!,RESTAURANT#GENERAL,negative
Garlic and herbs crab + shrimp manchurian + oyster :victory_hand:,FOOD#QUALITY,positive
Garlic and herbs crab + shrimp manchurian + oyster :victory_hand:,FOOD#QUALITY,positive
Garlic and herbs crab + shrimp manchurian + oyster :victory_hand:,FOOD#QUALITY,positive
Great Happy Hour!,RESTAURANT#MISCELLANEOUS,positive
Absolute favourite hotpot in town!,RESTAURANT#GENERAL,positive
"Great great food, not too pricey, good service and nice location near the center of the resort and the beach.",FOOD#QUALITY,positive
"Great great food, not too pricey, good service and nice location near the center of the resort and the beach.",SERVICE#GENERAL,positive
"Great great food, not too pricey, good service and nice location near the center of the resort and the beach.",LOCATION#GENERAL,positive
"Great great food, not too pricey, good service and nice location near the center of the resort and the beach.",RESTAURANT#PRICES,positive
Totally recommended.,RESTAURANT#GENERAL,positive
"Go to sandwich bar for lunch and split it with someone, they give big portions for a good price",FOOD#STYLE_OPTIONS,positive
"Go to sandwich bar for lunch and split it with someone, they give big portions for a good price",FOOD#PRICES,positive
Margaritas are so strong and I swear there's something not right about them.,DRINKS#QUALITY,negative
Delicious!,FOOD#QUALITY,positive
Great service and coffee.,SERVICE#GENERAL,positive
Great service and coffee.,DRINKS#QUALITY,positive
"Often crowded and few tables, but cozy.",AMBIENCE#GENERAL,negative
"Often crowded and few tables, but cozy.",AMBIENCE#GENERAL,positive
"Often crowded and few tables, but cozy.",AMBIENCE#GENERAL,negative
I always go for the Pepper Lunch Express...always the best beef pepper rice upsize meal....,RESTAURANT#GENERAL,positive
I always go for the Pepper Lunch Express...always the best beef pepper rice upsize meal....,FOOD#QUALITY,positive
I always go for the Pepper Lunch Express...always the best beef pepper rice upsize meal....,FOOD#STYLE_OPTIONS,positive
Feel friendly,AMBIENCE#GENERAL,positive
The staff...from the host to the bartender...were very lovely.,SERVICE#GENERAL,positive
The staff...from the host to the bartender...were very lovely.,SERVICE#GENERAL,positive
The staff...from the host to the bartender...were very lovely.,SERVICE#GENERAL,positive
I appreciated their positive energy and sincereness of how much they liked their job.,SERVICE#GENERAL,positive
Scones are highly recommended both plain and seasonal.,FOOD#QUALITY,positive
"Plus, royal milk tea cake tastes so good, not too sweet.",FOOD#QUALITY,positive
Here is such a cute and cozy cafe in the heart of Bangkok.,RESTAURANT#GENERAL,positive
Me like :),RESTAURANT#GENERAL,positive
The stuffed pizza rawks,FOOD#QUALITY,positive
"Try anything, either sweet or salty, tastes amazing and all home made!",FOOD#QUALITY,positive
Nomnom.,FOOD#QUALITY,positive
The scallops are fantastic.,FOOD#QUALITY,positive
Have a bottle of Newton Chardonnay to go with it.,DRINKS#QUALITY,positive
Try the bacon.,FOOD#QUALITY,positive
It costs more than usual but so worth it.,RESTAURANT#GENERAL,positive
It costs more than usual but so worth it.,RESTAURANT#PRICES,negative
"Really thick cuts done at order time, great smoky taste.",FOOD#QUALITY,positive
"Really thick cuts done at order time, great smoky taste.",FOOD#STYLE_OPTIONS,positive
Worth the extra cost.,RESTAURANT#GENERAL,positive
Its amazing,RESTAURANT#GENERAL,positive
Best Gyro and Baklava in town!!!,FOOD#QUALITY,positive
Best Gyro and Baklava in town!!!,FOOD#QUALITY,positive
Alex is a very awesome man!!,SERVICE#GENERAL,positive
Coffee with hazelnut is intoxicating,DRINKS#QUALITY,positive
One of a great Taiwanese Steamboat.,RESTAURANT#GENERAL,positive
Love the solid herbal soup base n the spicy soup is also jus nice.,FOOD#QUALITY,positive
Love the solid herbal soup base n the spicy soup is also jus nice.,FOOD#QUALITY,positive
Good enought to enjoy throughout.,FOOD#QUALITY,positive
Set back is too expensive,RESTAURANT#PRICES,negative
Fried oyster sliders will change your life.,FOOD#QUALITY,positive
Check out the All In burger!,FOOD#QUALITY,positive
"Also, their potato salad is fantastic!",FOOD#QUALITY,positive
"Ask for Caryn or Kristen, they are the best servers!",SERVICE#GENERAL,positive
"Ask for Caryn or Kristen, they are the best servers!",SERVICE#GENERAL,positive
Their house-made honey-nougat ice cream really tasted much better than the commercial ice creams out there!,FOOD#QUALITY,positive
Try the mix fruit juice.,DRINKS#QUALITY,positive
The passion tea is yum!,DRINKS#QUALITY,positive
No caffeine or sugar (unless ya sweeten it!) and very refreshing.,DRINKS#QUALITY,positive
The three amigos enchiladas are GREAT!,FOOD#QUALITY,positive
Wednesdays wine and beer are 1/2 off after 3pm :) #vegas #townsquare @crazypita,DRINKS#PRICES,positive
Wednesdays wine and beer are 1/2 off after 3pm :) #vegas #townsquare @crazypita,DRINKS#PRICES,positive
They deliver!,SERVICE#GENERAL,positive
Very cool vibe and a great dessert/coffee selection.,AMBIENCE#GENERAL,positive
Very cool vibe and a great dessert/coffee selection.,FOOD#STYLE_OPTIONS,positive
Very cool vibe and a great dessert/coffee selection.,DRINKS#STYLE_OPTIONS,positive
One of my favourite when I come here is mee bandung.,FOOD#QUALITY,positive
The best mee bandung in town..,FOOD#QUALITY,positive
Kelantanesse okay yg masak!,FOOD#QUALITY,positive
Omnomnomnom,FOOD#STYLE_OPTIONS,positive
"Try the Tea Latte's, It's refreshing and calming",DRINKS#QUALITY,positive
Get ready to wait 1 hour for a bad hamburger!,FOOD#QUALITY,negative
Get ready to wait 1 hour for a bad hamburger!,SERVICE#GENERAL,negative
"Beat chicken wing, one of the restaurant tauke soh (woman) attitude very rude !!",FOOD#QUALITY,positive
"Beat chicken wing, one of the restaurant tauke soh (woman) attitude very rude !!",SERVICE#GENERAL,negative
When she write down ur orders her face macam tak puas,SERVICE#GENERAL,negative
"Nice and cosy bar, cafe!",AMBIENCE#GENERAL,positive
"Nice and cosy bar, cafe!",RESTAURANT#GENERAL,positive
Horrible food..,FOOD#QUALITY,positive
And service as well ..,SERVICE#GENERAL,negative
Picanha show !!!!!!,FOOD#QUALITY,negative
Perfect margarita will destroy you (in a good way),DRINKS#QUALITY,positive
Great tapas and cheap beers...,FOOD#QUALITY,positive
Great tapas and cheap beers...,DRINKS#PRICES,positive
And it tasted wonderful,FOOD#QUALITY,positive
"Try the Asado Beef Ribs, the Lokum Beef and the Atnep Baklava for desserts.",FOOD#QUALITY,positive
"Try the Asado Beef Ribs, the Lokum Beef and the Atnep Baklava for desserts.",FOOD#QUALITY,positive
"Try the Asado Beef Ribs, the Lokum Beef and the Atnep Baklava for desserts.",FOOD#QUALITY,positive
"Great coffee, beautiful space!",DRINKS#QUALITY,positive
"Great coffee, beautiful space!",AMBIENCE#GENERAL,positive
Best chicken ever,FOOD#QUALITY,positive
Awesome service and affordable! 12 pieces of sashimi for ten bux!,SERVICE#GENERAL,positive
Awesome service and affordable! 12 pieces of sashimi for ten bux!,RESTAURANT#PRICES,positive
Awesome service and affordable! 12 pieces of sashimi for ten bux!,FOOD#PRICES,positive
Good place to try your first coffee in Vienne.,DRINKS#QUALITY,positive
Good place to try your first coffee in Vienne.,RESTAURANT#GENERAL,positive
"Only coffee shop in area, making it crazy in AM M-F.",AMBIENCE#GENERAL,negative
Drive thru slow even on weekends.,SERVICE#GENERAL,negative
Inside usually faster but not always.,SERVICE#GENERAL,neutral
The mushroom crostini is OUT of this world.,FOOD#QUALITY,positive
No joke - surpasses every other crostini we tried by a long shot.,FOOD#QUALITY,positive
Don't ask for a cup of water to go with your $10 purchase.,SERVICE#GENERAL,negative
"Apparently there's no time to help customers with 2 employees and 0 line, but plenty of time to worry about ""rules"" against ""free cups""",SERVICE#GENERAL,negative
Pitas are incredibly tasty but avoid the lentil soup at all costs.,FOOD#QUALITY,positive
Pitas are incredibly tasty but avoid the lentil soup at all costs.,FOOD#QUALITY,negative
They honor restaurant.com certificates everyday!,RESTAURANT#GENERAL,positive
"Gunkan Crujiente, boys! an apetizer yiu won't regret!!!",FOOD#QUALITY,positive
"Gunkan Crujiente, boys! an apetizer yiu won't regret!!!",FOOD#QUALITY,positive
Always yummy!,FOOD#QUALITY,positive
Nice food...,FOOD#QUALITY,positive
Hmmm lasagna's nothing to write home about....,FOOD#QUALITY,negative
Very very nice interior.,AMBIENCE#GENERAL,positive
Coffee is a little bit too light.,DRINKS#QUALITY,negative
Bruno dough is the yummiest!,FOOD#QUALITY,positive
Come hungry!,FOOD#QUALITY,positive
Best 1/2 & 1/2's in town!,DRINKS#QUALITY,positive
You can't find any place that serves the warm veal tongue here in KL!,FOOD#QUALITY,positive
It is tender and taste really good!,FOOD#QUALITY,positive
Melts in your mouth!!!,FOOD#QUALITY,positive
Dog friendly!!!!,RESTAURANT#MISCELLANEOUS,positive
"If you want the best Japanese Ramen restaurant, please visit Ureshii Kitchen!!",RESTAURANT#GENERAL,positive
For vegans: Get the grilled portabella vegetarian sandwich minus the cheese & mayo,FOOD#QUALITY,positive
Try the chocolate mouse - so good.,FOOD#QUALITY,positive
The trivia games at the table-side iPads are fun by watch out!,AMBIENCE#GENERAL,positive
"You will have ""entertainment"" charges on your bill that are NOT explained on the iPad interface before you start playing the games!",RESTAURANT#PRICES,negative
get the mexican hot chocolate here. it's something special,DRINKS#QUALITY,positive
get the mexican hot chocolate here. it's something special,DRINKS#QUALITY,positive
The head chef makes good eveything.,FOOD#QUALITY,positive
"Try the deserts too, great crem brule.",FOOD#QUALITY,positive
"Try the deserts too, great crem brule.",FOOD#QUALITY,positive
Great food but slooooooowest service ever!!!,FOOD#QUALITY,positive
Great food but slooooooowest service ever!!!,SERVICE#GENERAL,negative
$3 Burgers On Wednesdays,FOOD#PRICES,positive
THAI ICED COFFEE!!,DRINKS#QUALITY,positive
It's amazing!,DRINKS#QUALITY,positive
This is such an awesome little place.,RESTAURANT#GENERAL,positive
Good is good!,FOOD#QUALITY,positive
You can't go wrong.,RESTAURANT#GENERAL,positive
Ate here many times when in Petoskey!,RESTAURANT#GENERAL,positive
I have to drive an hour to get here and it's always worth it.,RESTAURANT#GENERAL,positive
Their BBQ pork buns are SUPER tasty.,FOOD#QUALITY,positive
And the bubble tea is so delicious.,DRINKS#QUALITY,positive
Spicy lobster roll is amazing.,FOOD#QUALITY,positive
the jerk tofu wrap is spicy...and delicious,FOOD#QUALITY,positive
Great tasting burger.,FOOD#QUALITY,positive
The Parmesan chips with truffle sauce were crunchy and yummy.,FOOD#QUALITY,positive
Not bad .. delicious french fries :OK_hand:,FOOD#QUALITY,positive
"If you shop at the Giant next door before you eat, you can frequently get a $5 off coupon good off of any $20 purchase.",RESTAURANT#MISCELLANEOUS,positive
Cheesy ravioli is the best,FOOD#QUALITY,positive
gobblerito: thanksgiving season special.,FOOD#QUALITY,positive
Try it.,FOOD#QUALITY,positive
"Get the pasta portofino salad and iced mocha, and hang out for a little while.",FOOD#QUALITY,positive
"Get the pasta portofino salad and iced mocha, and hang out for a little while.",FOOD#QUALITY,positive
The Gipsy Kings playing in the background will make up for there being no Internet.,AMBIENCE#GENERAL,positive
The Gipsy Kings playing in the background will make up for there being no Internet.,RESTAURANT#MISCELLANEOUS,negative
Amazing view and great BLAT sandwich as well as California burger.,LOCATION#GENERAL,positive
Amazing view and great BLAT sandwich as well as California burger.,FOOD#QUALITY,positive
Amazing view and great BLAT sandwich as well as California burger.,FOOD#QUALITY,positive
Great rest stop!,RESTAURANT#GENERAL,positive
Super friendly staff! & tasty sandwiches.,SERVICE#GENERAL,positive
Super friendly staff! & tasty sandwiches.,FOOD#QUALITY,positive
Try Montagnard,FOOD#QUALITY,positive
Awesome dumplings!,FOOD#QUALITY,positive
Good service! ^^,FOOD#QUALITY,positive
Good service! ^^,RESTAURANT#GENERAL,positive
PB&J shake is a must!,DRINKS#QUALITY,positive
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",AMBIENCE#GENERAL,positive
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",RESTAURANT#GENERAL,positive
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",AMBIENCE#GENERAL,positive
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",AMBIENCE#GENERAL,positive
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",AMBIENCE#GENERAL,positive
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",DRINKS#QUALITY,positive
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",AMBIENCE#GENERAL,positive
Great staff!,SERVICE#GENERAL,positive
Very fun and friendly...been going here for years.,AMBIENCE#GENERAL,positive
"Im solved :p , for the record..burgers are tasty, and the staff are very welcoming ;)",FOOD#QUALITY,positive
"Im solved :p , for the record..burgers are tasty, and the staff are very welcoming ;)",SERVICE#GENERAL,positive
Not as bad as the reviews looks like 3 pricks over reviewing,RESTAURANT#GENERAL,neutral
Basically lived here for a week.,RESTAURANT#GENERAL,positive
Awesome place that captures the European cafe culture.,RESTAURANT#GENERAL,positive
Awesome place that captures the European cafe culture.,AMBIENCE#GENERAL,positive
Also BEST croissant I've ever had! :),FOOD#QUALITY,positive
Also BEST croissant I've ever had! :),RESTAURANT#GENERAL,positive
"Great food, one of the best, awesome presentation of food!!!",FOOD#QUALITY,positive
"Great food, one of the best, awesome presentation of food!!!",FOOD#STYLE_OPTIONS,positive
Good service to,SERVICE#GENERAL,positive
They have the best Schawarma in UAE.,FOOD#QUALITY,positive
"As much as I love the food here, I absolutely do not recommend it anytime it's anything other than completely dead.",FOOD#QUALITY,positive
"As much as I love the food here, I absolutely do not recommend it anytime it's anything other than completely dead.",SERVICE#GENERAL,negative
They ALWAYS mess up my order and leave me waiting far too long.,SERVICE#GENERAL,negative
