review,aspect,sentiment
 Great food. Excellent service. Great prices,FOOD#QUALITY,positive
"""---""",RESTAURANT#PRICES,positive
"""---""",SERVICE#GENERAL,positive
 One Double cheeseBK n Nice outdoor atmosphere ^^ #HomeyBali,AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
 Get the home made lime/mint lemonade!,n/a,n/a
 Ben here 4 times in last month. Excellent sushi and old fashions. Music is way too loud for dining though! Turn it down a tad for eating please!,AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
" Best wings, rolling to a spot near you.",n/a,n/a
" If you're a lover of all things pumpkin, try the pumpkin bagel with the pumpkin cream cheese when they're in season!",n/a,n/a
 Did this..Love it.,n/a,n/a
 Chips and wam salsa. Delicious!,FOOD#QUALITY,positive
 Try the calamari Taco n add some hot sauce..delicious!!,n/a,n/a
" The chocolate babka is amazing- buttery, plenty of chocolate & stays moist (even when left open on a counter)!! If you order coffee at the front register, you have to go to the back to pick it up.",n/a,n/a
" Beers all over the world, cool place",DRINKS#STYLE_OPTIONS,positive
"""---""",RESTAURANT#GENERAL,positive
 Nice place. Good coffee not bad prices. But the menu could do with a redesign. Doesn't match the aesthetic of the property.,DRINKS#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
 Good food. Parking can be a real pain!,FOOD#QUALITY,positive
"""---""",RESTAURANT#MISCELLANEOUS,positive
 The red beans and rice are DELICIOUS.. better than Pat O'Briens.,FOOD#QUALITY,positive
 This is my fourth time here. Gets better every single time.,n/a,n/a
 Must try shrimp avoid salad and Nutella Tiramissu. Enjoy!,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 This is Mexican food done right. But If you want tortillas they will charge you for mere 2 tortillas (that is not right),FOOD#QUALITY,positive
"""---""",RESTAURANT#PRICES,positive
 Waitress wears flip flop. Doesn't know how to properly pour water out of a pitcher. Food was good though.,FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Such a beautiful place,AMBIENCE#GENERAL,positive
 The guys here will give you a hard time with the check in special.,SERVICE#GENERAL,positive
 Puts Moe's and Chipotle to shame,n/a,n/a
" Chicken teriyaki is good, vegetables nicely preppes, good serving portion, price friendly",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
" If you're looking for homemade local food. Thats the address.You should try ""keskek"" which is a traditional food. Kind of turkish risotto",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 The Red Velvet Waffles are to die for!,n/a,n/a
" The owner, Whitney, suggested the small pies for client thank you gifts. I tried the Dutch Apple, it was DELICIOUS!!!",FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Medium coffee + oatmeal for $3.50 = a great way to start the day.,RESTAURANT#PRICES,positive
" Really excellent beer selection, solid food choices, and probably the worst music ever.",AMBIENCE#GENERAL,positive
"""---""",DRINKS#STYLE_OPTIONS,positive
"""---""",FOOD#STYLE_OPTIONS,positive
" Soo tasty meze, great balcony overviewing the bay",FOOD#QUALITY,positive
 Plan to wait a while. This McDonald's is slow.,n/a,n/a
 Get the Atticus Finch.,n/a,n/a
" These burgers are the shit! Forget Grill'd , Forget all other burger joints in Melbourne. Danny's Burgers is where its at!",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Avoid the butter chicken unless you want a bowl of microwaved stodge with no taste and fatty chicken. Not to mention the stale bread! On the plus side service was lightening fast!,FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Always great service up in the bar. Love the Chicago 7 calzone.,FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 The chicken wing is the best xD yums <3,n/a,n/a
 Awesome Chicken Greek Salad,n/a,n/a
 Breakfast was awful. No server came to greet us the whole hour our three person party was there which meant we couldn't order any hot food. Every table was dirty and food that was out was old.,AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
" Great food, kids are too loud......",AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
 The shrimp risotto off the dinner menu is EPIC,n/a,n/a
" Great breakfasts in a nice furnished cafè, slightly bohemian. Staff was friendly and they have free wifi. Everything is organic and they have a great selection of jams.",AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
"""---""",SERVICE#GENERAL,positive
 Their beef salpicao is delicious! Good ambience and fast service! We love it!,AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
" Farted In one of these cars, stank for days.",n/a,n/a
 You can also get one of these in the evening at the riverside next to BarKa (https://www.facebook.com/planbarka).,n/a,n/a
" It's a nice place,quiet and comfortable with nice people and good food...I recommend.",AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Go to rockys on 2nd ave instead,n/a,n/a
 Don't be fooled by the strip mall location. Great fresh food.,n/a,n/a
" Nice simple place, fish and sea food available, prices are fine and easy to park. Other meals, salads and snacks in the menu. Give it a try when around bathing.",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
"""---""",LOCATION#GENERAL,neutral conflict
" Stoked I was finally able to stop by after hearing about it from SLO friends for so long. This place stands up with the best of them. 10/10, would consume caffeine here again.",n/a,n/a
" Jerry lee, I'm starvin!!! And u didn't invite me? I got my sad face on now! :(",n/a,n/a
 Best pizza in town! Excellent wings and salad! Great lunch specials!,FOOD#QUALITY,positive
" Place is very clean, amazing service an atmosphere looking forward to going back to try brunch!",AMBIENCE#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
" Very unprofessional... I called to make a reservatiom and they said that they did not take any reservation, but when I came directly, they said it was fully booked...",SERVICE#GENERAL,positive
 Service here is great all the time :),SERVICE#GENERAL,positive
 This place rocks! Great view of Crab Island as u enjoy a great fish sandwich with a cold one!,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Wash down a tuna tartar with an Ion martini! You'll love this electrolyte enhanced vodka!,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
" Service is terrible, sadly it is not the managements fault. There is just no respect shown by the general staff. It's sad.",SERVICE#GENERAL,negative
" Great food! Fair price, good ambiance and live music.",AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#PRICES,positive
" Best wine in town, we will be back for more.",n/a,n/a
 Get a calzone. They're 10 dollars but the size of a small baby.,FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
" Lovely food, good portions, friendly staff. Recommended!",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
 Serves a wide range of cooked and grilled meals daily till 6 pm. Closed on Sundays. Value for money.,FOOD#STYLE_OPTIONS,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
" Try the cakes (the large ones), especially the one with forest fruits and chocolate.",n/a,n/a
" This was the worst Brazilian BBQ I,ve ever been to. The meatshadno flavor and the chicken was completely dry. Awful experience, the waitress was too busy taking care of other tables. Don't come here.",FOOD#QUALITY,positive
 The ceviche is amazing. Worth it!,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 You got to try the new Brioche specials :),n/a,n/a
 The Prosciutto sandwich is the Jam. Partly because it has strawberry-rhubarb jam.,n/a,n/a
 Petifores (sp) are the way to go!,n/a,n/a
" The center cut filet is a MUST if you're here for dinner. Trust me. If you find yourself here for brunch, the French toast is the way to go. It can get busy-no worries, free mimosas during your wait!",n/a,n/a
 Great cake here.. It's a chain yes but feels more organic than Starbucks,n/a,n/a
 Herb and bacon cream cheese. Yum.,n/a,n/a
 Ikura Oroshi is amazing. It made me come back twice. The second time I also discovered the black miso cod.,n/a,n/a
" Best cakes,, try the mini chocolate buttons <3 I also love their red-velvet cakes <33",n/a,n/a
 Pancakes are very tasty. Wi fi 0137671273,n/a,n/a
 adding photo,n/a,n/a
 You have to try their Spanish Latte!,n/a,n/a
" Medicore sushi, not special on taste nor variety and beamwallet doesn't work if you are considering it. Overall bad experience and waiting for management to rectify the beamwallet issue.",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#MISCELLANEOUS,positive
"""---""",SERVICE#GENERAL,positive
 Be in Efes for 2nd time same as last time great food great Mr. Ramadan. Highly recommended,n/a,n/a
" Dude, Alex makes the best coffee! and he's awfully forceful when it comes to chocolate croissants. Excellent service.",DRINKS#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Very nice service and these biscuits are delicious!,n/a,n/a
 Lousy !!!!!,RESTAURANT#GENERAL,positive
 Garlic and herbs crab + shrimp manchurian + oyster :victory_hand:,n/a,n/a
 Great Happy Hour! Grab the newest issue of NiteGuide Magazine!,RESTAURANT#MISCELLANEOUS,positive
 Dal fry with butter naan,n/a,n/a
 Absolute favourite hotpot in town!,n/a,n/a
" Great great food, not too pricey, good service and nice location near the center of the resort and the beach. Totally recommended.",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
"""---""",SERVICE#GENERAL,positive
" Go to sandwich bar for lunch and split it with someone, they give big portions for a good price",FOOD#PRICES,negative
 Margaritas are so strong and I swear there's something not right about them. Delicious!,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
" Great service and coffee. Often crowded and few tables, but cozy.",AMBIENCE#GENERAL,positive
"""---""",DRINKS#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 I always go for the Pepper Lunch Express...always the best beef pepper rice upsize meal....,FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
"""---""",RESTAURANT#GENERAL,positive
 Feel friendly,n/a,n/a
 Appetizers and soup,n/a,n/a
 The staff...from the host to the bartender...were very lovely. I appreciated their positive energy and sincereness of how much they liked their job.,SERVICE#GENERAL,positive
" Scones are highly recommended both plain and seasonal. Plus, royal milk tea cake tastes so good, not too sweet. Here is such a cute and cozy cafe in the heart of Bangkok. Me like :)",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 The stuffed pizza rawks,n/a,n/a
" Try anything, either sweet or salty, tastes amazing and all home made! Nomnom.",n/a,n/a
 The scallops are fantastic. Have a bottle of Newton Chardonnay to go with it.,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
" Try the bacon. It costs more than usual but so worth it. Really thick cuts done at order time, great smoky taste. Worth the extra cost.",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
 Its amazing,n/a,n/a
 Best Gyro and Baklava in town!!! Alex is a very awesome man!!,FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Coffee with hazelnut is intoxicating,n/a,n/a
 One of a great Taiwanese Steamboat. Love the solid herbal soup base n the spicy soup is also jus nice. Good enought to enjoy throughout. Set back is too expensive,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
 Fried oyster sliders will change your life.,n/a,n/a
" Check out the All In burger! It's a burger with pulled pork. Also, their potato salad is fantastic! Ask for Caryn or Kristen, they are the best servers!",FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Their house-made honey-nougat ice cream really tasted much better than the commercial ice creams out there! Hope they have a branch in Metro Manila.,n/a,n/a
 Try the mix fruit juice. It's fantastic!,n/a,n/a
 The passion tea is yum! No caffeine or sugar (unless ya sweeten it!) and very refreshing.,DRINKS#QUALITY,positive
 The three amigos enchiladas are GREAT!,n/a,n/a
 Wednesdays wine and beer are 1/2 off after 3pm :) #vegas #townsquare @crazypita,n/a,n/a
 They deliver!,n/a,n/a
 The menu... Very cool vibe and a great dessert/coffee selection.,AMBIENCE#GENERAL,positive
"""---""",DRINKS#STYLE_OPTIONS,positive
"""---""",FOOD#STYLE_OPTIONS,positive
 One of my favourite when I come here is mee bandung. The best mee bandung in town.. Kelantanesse okay yg masak! Omnomnomnom,FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
" Try the Tea Latte's, It's refreshing and calming",n/a,n/a
 Get ready to wait 1 hour for a bad hamburger!,FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
" Beat chicken wing, one of the restaurant tauke soh (woman) attitude very rude !! When she write down ur orders her face macam tak puas",FOOD#QUALITY,positive
" Nice and cosy bar, cafe!",AMBIENCE#GENERAL,positive
"""---""",RESTAURANT#GENERAL,positive
 Horrible food.. And service as well ..,FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Tuesday 8/31 wifi is slow to a halt making work unproductive. What is up with cafes with slow wifi?,n/a,n/a
 Picanha show !!!!!!,FOOD#QUALITY,positive
 Perfect margarita will destroy you (in a good way),n/a,n/a
 Great tapas and cheap beers... Oh.. And it tasted wonderful,FOOD#QUALITY,positive
" Try the Asado Beef Ribs, the Lokum Beef and the Atnep Baklava for desserts.",n/a,n/a
" Great coffee, beautiful space!",AMBIENCE#GENERAL,positive
"""---""",DRINKS#QUALITY,positive
 Best chicken ever,n/a,n/a
 Awesome service and affordable! 12 pieces of sashimi for ten bux!,RESTAURANT#PRICES,positive
"""---""",SERVICE#GENERAL,positive
"""---""",FOOD#PRICES,negative
 Good place to try your first coffee in Vienne.,DRINKS#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 California Enchilada was great!!!,n/a,n/a
" Only coffee shop in area, making it crazy in AM M-F. Drive thru slow even on weekends. Inside usually faster but not always.",AMBIENCE#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
 The mushroom crostini is OUT of this world. No joke - surpasses every other crostini we tried by a long shot.,n/a,n/a
" Don't ask for a cup of water to go with your $10 purchase. Apparently there's no time to help customers with 2 employees and 0 line, but plenty of time to worry about ""rules"" against ""free cups""",n/a,n/a
 Pitas are incredibly tasty but avoid the lentil soup at all costs.,FOOD#QUALITY,positive
 They honor restaurant.com certificates everyday!,n/a,n/a
" Gunkan Crujiente, boys! an apetizer yiu won't regret!!!",n/a,n/a
 Always yummy! Hilliard location as well. Been a customer for 10+ yrs,n/a,n/a
 Nice food...,n/a,n/a
 Hmmm lasagna's nothing to write home about....,n/a,n/a
 Very very nice interior. Coffee is a little bit too light.,AMBIENCE#GENERAL,positive
"""---""",DRINKS#QUALITY,positive
 Bruno dough is the yummiest! Come hungry!,n/a,n/a
" Smokehouse Chop Salad - Mixed field greens tossed w/ diced Hickory-smoked chicken, spicy bacon & candied walnuts, cheddar cheese, pico de gallo, topped w/ citrus vinaigrette & freshly sliced avocado.",n/a,n/a
 Best 1/2 & 1/2's in town!,n/a,n/a
 You can't find any place that serves the warm veal tongue here in KL! It is tender and taste really good! Melts in your mouth!!!,n/a,n/a
 Dog friendly!!!!,n/a,n/a
" If you want the best Japanese Ramen restaurant, please visit Ureshii Kitchen!!",n/a,n/a
 For vegans: Get the grilled portabella vegetarian sandwich minus the cheese & mayo,n/a,n/a
 Try the chocolate mouse - so good.,n/a,n/a
" The trivia games at the table-side iPads are fun by watch out! You will have ""entertainment"" charges on your bill that are NOT explained on the iPad interface before you start playing the games!",AMBIENCE#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
 get the mexican hot chocolate here. it's something special,n/a,n/a
" The head chef makes good eveything. Try the deserts too, great crem brule.",n/a,n/a
 Great food but slooooooowest service ever!!!,n/a,n/a
 $3 Burgers On Wednesdays,FOOD#PRICES,negative
 THAI ICED COFFEE!! No other words! It's amazing! This is such an awesome little place. Good is good! You can't go wrong. Ate here many times when in Petoskey!,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 I have to drive an hour to get here and it's always worth it. Their BBQ pork buns are SUPER tasty. And the bubble tea is so delicious.,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Spicy lobster roll is amazing.,n/a,n/a
 the jerk tofu wrap is spicy...and delicious,n/a,n/a
 Great tasting burger. The Parmesan chips with truffle sauce were crunchy and yummy. Despite the reviews (which are dated). Ate after the rush hour around 2pm. Took 5-7 mins for order. Will return,n/a,n/a
 Not bad .. delicious french fries :OK_hand:,n/a,n/a
" If you shop at the Giant next door before you eat, you can frequently get a $5 off coupon good off of any $20 purchase.",n/a,n/a
 Cheesy ravioli is the best,n/a,n/a
 gobblerito: thanksgiving season special. It's a thanksgiving feast rolled into a burrito! Try it.,n/a,n/a
" Get the pasta portofino salad and iced mocha, and hang out for a little while. The Gipsy Kings playing in the background will make up for there being no Internet.",AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#MISCELLANEOUS,positive
 Amazing view and great BLAT sandwich as well as California burger. Great rest stop!,FOOD#QUALITY,positive
"""---""",LOCATION#GENERAL,positive
"""---""",RESTAURANT#GENERAL,positive
 Super friendly staff! & tasty sandwiches. Try Montagnard,n/a,n/a
 Awesome dumplings!,n/a,n/a
 Good service! ^^,n/a,n/a
 PB&J shake is a must!,n/a,n/a
" Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",AMBIENCE#GENERAL,positive
"""---""",DRINKS#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Great staff! Very fun and friendly...been going here for years.,AMBIENCE#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
" Im not too picky with my burgers, as long as they have lettuce-tomatoes-cheese-and a juicy patty. Im solved :p , for the record..burgers are tasty, and the staff are very welcoming ;)",FOOD#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
 Not as bad as the reviews looks like 3 pricks over reviewing,RESTAURANT#GENERAL,positive
 Basically lived here for a week. Awesome place that captures the European cafe culture. Also BEST croissant I've ever had! :),AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
" Great food, one of the best, awesome presentation of food!!! Good service to",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
"""---""",SERVICE#GENERAL,positive
 They have the best Schawarma in UAE. Trust me on that,n/a,n/a
" As much as I love the food here, I absolutely do not recommend it anytime it's anything other than completely dead. They ALWAYS mess up my order and leave me waiting far too long. Boo, Miso. :(",n/a,n/a
" This new Birmingham restaurant just opened, but the comforting European-influenced food and carefully curated children's menu are already drawing local attention.",n/a,n/a
 Eat here the meze from the chef or try the retsina plate,n/a,n/a
" If you don't want to be queued on the waiting list for tables, get there ahead of the rush hour. It can take a while to get a seat.",n/a,n/a
 Kevin is by far one of the best bartenders in the business.,n/a,n/a
" Very friendly staff and good service, We were there Monday lunch, 3 March 2014, forgot to ask her name. She is working only by herself but still working with smile. Need more staff there.",SERVICE#GENERAL,positive
" During football season, they celebrate Monday Night Football by offering their happy hour menu all night (3p-close). There is a huge variety of food and drinks half off.",DRINKS#STYLE_OPTIONS,positive
"""---""",FOOD#STYLE_OPTIONS,positive
" wonderful ""Historic"" dining experience... The pub is perfect for a quick bite and drink. If you haven't experienced the dinner theater and formal dining experience, you're in for a treat!",RESTAURANT#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
" Dude,,one one the 3 best margaritas in the world.",n/a,n/a
" There's always a lot of people but its worth the wait! Watch the signs for lines. Cakes only, Cafe, Pastries. I love the potato balls and the baked ham and cheese croissants! Cheese rolls with guava!",AMBIENCE#GENERAL,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Love the cheese tart ..<3,n/a,n/a
 Art cafe nice vienna atmosphere,n/a,n/a
" Splitting the big breakfast with a friend is awesome, affordable, and will full up just about anybody.",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
 Always fast and friendly! The food can't be beat. Best Arby's on Telegraph!,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
 Shitty service,n/a,n/a
 the food is 10/10 :clapping_hands::clapping_hands:,n/a,n/a
 Breakfast burrito never let's me down.,n/a,n/a
 The chorizo is a must!!,n/a,n/a
 Great food,n/a,n/a
 The tenderloin is Oh. My. God. Good. This place is the real deal.,FOOD#QUALITY,positive
"""---""",RESTAURANT#PRICES,positive
 awesome old school italian! super welcoming staff. loved it. fast & cozy for lunch.,AMBIENCE#GENERAL,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
 Cash Only. Bring Cash.,n/a,n/a
" Mint chocolate, pumpkin spice chocolate, coffee, hot caramel cider",n/a,n/a
 IPETS@Lavender - behind V-Hotel #02-178. Great deals for pets cage/food & other stuffs!! Rabbits/Chinchilla/GuineaPig/Hamster.,n/a,n/a
" This place is useless, had very disappointing service.Quality & Quantity of food is worst but the cost is like 5 star Hotel.Never ever recommend this place to anyone, total waste of money :(",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
"""---""",RESTAURANT#PRICES,positive
"""---""",SERVICE#GENERAL,positive
"""---""",RESTAURANT#GENERAL,negative
 Great place for a quiet lunch near the perimeter that is NOT a chain or forcing you to fight traffic. The salads here are the best!,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Possibly the best bistro in Brooklyn.,n/a,n/a
 Awesome cajun chicken + gumbo. Order the beignets (suggested by Becky)-you will not be disappointed,n/a,n/a
 Try the orange chicken!!,n/a,n/a
 Nice shisha .. give it a try.,n/a,n/a
 Best coffee on the NH-45,n/a,n/a
 AMAZEBALLS! Get the cheese plate. Best $12 I have ever spent.,FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",RESTAURANT#PRICES,positive
 Biryani at this place makes you feel like at Hyderabad,n/a,n/a
 The ice cream is fantastic and it's cheaper than Grom. One of my top 3 ice creams in torino. Chantilly and Nocciola variegato gianduja.,FOOD#QUALITY,positive
"""---""",RESTAURANT#PRICES,positive
" Baristar here r quiet good... Smooth hot coffee... Nice food, special here r buy 2 pints FREE 1 pints only at RM42++ add 1 more tips here is Segafredo WiFi password is ""sega123456789""",DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
"""---""",RESTAURANT#GENERAL,positive
 Nusr-et marine etmeden dover bunu:) Empaladas and baby goat(*) nice; but steak disappointing! try argentine wine; any malbec!...,DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
 Sundays kids eat free!,n/a,n/a
 Buy two venties and 1lb of coffee and get the venties free . Woo hoo,n/a,n/a
" Gourmet Mexican food with nearly 300 tequilas to choose from, descriptions which can be easily accessed on the iPad menus, will be great to drink on the seaside deck (note: don't drop the menu).",DRINKS#STYLE_OPTIONS,positive
 The ¥200 extra ser includes choice among five side dishes and drinks - good deal in addition to three sizes of taco rice.,FOOD#PRICES,negative
 Open till 11:55 so amazing!,n/a,n/a
 Duck salad recommended,n/a,n/a
 Coffee is the best at this place..costly though,DRINKS#PRICES,positive
"""---""",DRINKS#QUALITY,positive
 Try the chocolate cheese cake.. It's delicious,n/a,n/a
 Gluten free friendly and I can actually order just about anything for my fiancé here that is available to everyone else! Love how caring they are about allergies!,FOOD#STYLE_OPTIONS,positive
"""---""",RESTAURANT#MISCELLANEOUS,positive
" A review in haiku: They have lots of meat | The filet tastes amazing | Food baby, I have....",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
 Order ahead at chipotle.com (or using their iPhone app) to bypass the line!,n/a,n/a
 Homemade cakes in the restaurant are to die for. Gorgeous .,n/a,n/a
 Quesadilla is to die for here!!! I keep on coming back just for that!,n/a,n/a
 6 crepes made in 40+ minutes. Make sure you have PLENTY of time to eat.,n/a,n/a
 Excellent western food. Served traditional style.,n/a,n/a
 Big oysters and a good po boy.,n/a,n/a
 Too expensive for average menu,FOOD#QUALITY,positive
"""---""",RESTAURANT#PRICES,positive
" Pricey, but delicious. Treat yourself!",FOOD#QUALITY,positive
 Seriously best buffet I've ever been too.,n/a,n/a
 The drive thru is the weirdest configured drive thru - odd curve to get to window!,RESTAURANT#MISCELLANEOUS,positive
 My first job back when I was a teenager was here! Pretty much everything is good.,n/a,n/a
" Great service, good matcha tea",DRINKS#QUALITY,positive
"""---""",SERVICE#GENERAL,positive
" One of my favourite Starbucks stores in San Antonio! Excellent (and friendly) staff, very clean, and usually just busy enough.",AMBIENCE#GENERAL,positive
"""---""",RESTAURANT#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
 Ladies dresses Only. :/,n/a,n/a
 Try the Crispy Fried Smelts,n/a,n/a
 4 to 6 most days - great music with the Happy Hour,n/a,n/a
" Been here lots of times. Slowest starbucks ever. Don't go inside for service, use drive thru.",RESTAURANT#GENERAL,positive
"""---""",SERVICE#GENERAL,positive
 I love this ;-),n/a,n/a
 This place is closed,n/a,n/a
" I don't recommend buying Pico de Gallo fruit here. It's expensive, 7 bucks for a large and they don't put all the fruit that the list says. You're better off buying the fruit from the paisas.",n/a,n/a
 It has moved to the Umami steamboat shop. Found alot of baby cockroaches on the wall and even ur dining table!,AMBIENCE#GENERAL,positive
 Very friendly service.,n/a,n/a
" "" White chocolate mocha "" denemeye değer :)",n/a,n/a
 Apple pie and crab cake :smiling_face_with_heart-eyes:,n/a,n/a
" The coffee here is great, they have an extensive menu with a lot of good food, serve breakfast all day, are open until midnight, and have free wifi. The waitstaff is crazy, but fun. I love it here.",DRINKS#QUALITY,positive
"""---""",FOOD#QUALITY,positive
"""---""",FOOD#STYLE_OPTIONS,positive
